keyword,judul,media,tanggal,link,isi_berita
SPPG Kota Palangka Raya Bukit Batu Tangkiling,"Tangkiling, 29 Juli 2025_ Camat Bukit Batu, Bapak Hendrikus Satrya Budi, A.P., M.A.P bersama Lurah Tangkiling, Kecamatan… – Pemerintah Kota Palangka Raya",Pemerintah Kota Palangka Raya,"Wed, 30 Jul 2025 07:00:00 GMT",https://palangkaraya.go.id/tangkiling-29-juli-2025_-camat-bukit-batu-bapak-hendrikus-satrya-budi-a-p-m-a-p-bersama-lurah-tangkiling-kecamatan/,"Camat Bukit Batu, Bapak Hendrikus Satrya Budi, A.P., M.A.P bersama Lurah Tangkiling, Kecamatan Bukit Batu melakukan peninjauan terhadap Dapur Umum Satuan Pemenuhan Pelayanan Gizi (SPPG) yang berlokasi di Jl. Bukit Tunggal (Sukamulya), Kelurahan Tangkiling. Dapur umum ini direncanakan akan mulai beroperasi pada tanggal 4 Agustus 2025 mendatang.

Kegiatan ini merupakan bagian dari dukungan Pemerintah Kecamatan Bukit Batu terhadap Program Gizi Nasional, sekaligus selaras dengan pelaksanaan Program ... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Bukit Batu Tangkiling,Mayat lelaki ditemukan sudah membusuk disamping sepeda motor bebek,ANTARA News Jambi,"Sun, 20 Sep 2020 07:00:00 GMT",https://jambi.antaranews.com/berita/410853/mayat-lelaki-ditemukan-sudah-membusuk-disamping-sepeda-motor-bebek,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://jambi.antaranews.com/berita/410853/mayat-lelaki-ditemukan-sudah-membusuk-disamping-sepeda-motor-bebek]
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,Dalih BGN Kalteng soal Keracunan MBG di Palangka Raya: Belum Bisa Disimpulkan Tanpa Uji Laboratorium,Kompas.com,"Mon, 06 Oct 2025 07:00:00 GMT",https://regional.kompas.com/read/2025/10/06/080749078/dalih-bgn-kalteng-soal-keracunan-mbg-di-palangka-raya-belum-bisa?page=all,"PALANGKA RAYA, KOMPAS.com - Sebanyak 27 siswa Sekolah Dasar Negeri (SDN) 3 Bukit Tunggal, Kecamatan Jekan Raya, Kota Palangka Raya, Kalimantan Tengah (Kalteng), mengalami gejala keracunan makanan usai menyantap makan bergizi gratis (MBG) pada Kamis, 4 September 2025 lalu.

Puluhan siswa itu mengalami pusing, mual, hingga muntah-muntah setelah mengonsumsi MBG dengan menu burger.

Diketahui, pihak SPPG yang menyediakan menu tersebut mengakui bahwa ada saus kedaluwarsa empat bulan yang digunakan.

... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,Perjanjian SPPG untuk Tutupi Informasi Keracunan MBG Tuai Kritik,Tirto.id,"Fri, 03 Oct 2025 07:00:00 GMT",https://tirto.id/perjanjian-sppg-untuk-tutupi-informasi-keracunan-mbg-tuai-kritik-hiXa,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://tirto.id/perjanjian-sppg-untuk-tutupi-informasi-keracunan-mbg-tuai-kritik-hiXa]
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,Camat Bukit Batu didampingi Plt.Sekcam dan Lurah Tumbang Tahai tinjau Dapur Umum SPPG dalam rangka Mendukung Program Gizi Nasional sekaligus perdana per tanggal 4 Agustus 2025 di distribusikan ke Anak sekolah di wilayah Kecamatan Bukit Bat,Pemerintah Kota Palangka Raya,"Mon, 04 Aug 2025 07:00:00 GMT",https://palangkaraya.go.id/camat-bukit-batu-didampingi-plt-sekcam-dan-lurah-tumbang-tahai-tinjau-dapur-umum-sppg-dalam-rangka-mendukung-program-gizi-nasional-sekaligus-perdana-per-tanggal-4-agustus-2025-di-distribusikan-ke-anak/,"Camat Bukit Batu, Bapak Hendrikus Satrya Budi, A.P., M.A.P didampingi Plt. Seretaris Kecamatan Bapak Dony Wandira, S.STP., M.Si dan Lurah Tumbang Tahai Bapak Satriajaya, meninjau dapur umum milik SPPG (Satuan Pelayanan Pemenuhan Gizi) di Jalan Bukit Tunggal Kelurahan Tangkiling Kecamatan Bukit Batu Kota Palangka Raya pada tanggal 4 Agustus 2025. Dapur umum ini didirikan untuk mendukung Program Gizi Nasional dengan menyediakan makan siang gratis bagi anak sekolah di wilayah Kecamatan Bukit Batu.
... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,"Puluhan Murid SD Keracunan MBG, Kadisdik Kota Minta SPPG Lebih Berhati-hati dan Teliti",Prokalteng,"Mon, 29 Sep 2025 07:00:00 GMT",https://prokalteng.jawapos.com/pemerintahan/pemko-palangka-raya/29/09/2025/puluhan-murid-sd-keracunan-mbg-kadisdik-kota-minta-sppg-lebih-berhati-hati-dan-teliti/,"PALANGKA RAYA, PROKALTENG.CO – Sebanyak 27 siswa sekolah dasar (SD) di Kota Palangka Raya, Kalimantan Tengah, diduga mengalami keracunan setelah menyantap menu makan bergizi gratis (MBG).

“Kejadian ini sebenarnya di tanggal 4 September tadi. Ini terjadi di Sekolah SDN 3 Bukit Tunggal. Ada anak-anak sakit perut, makanya kita minta pihak sekolah melaporkan ke Satuan Pelayanan Pemenuhan Gizi (SPPG),” kata Kepala Dinas Pendidikan Kota Palangka Raya, Jayani, Senin. (29/9/2025)

Dia menjelaskan, piha... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,"27 Siswa Palangka Raya Diduga Keracunan MBG, Disdik Benarkan Anak Sakit Perut, BGN Singgung Imun",Kompas.com,"Mon, 29 Sep 2025 07:00:00 GMT",https://regional.kompas.com/read/2025/09/29/191243878/27-siswa-palangka-raya-diduga-keracunan-mbg-disdik-benarkan-anak-sakit,"PALANGKA RAYA, KOMPAS.com - Terjadi perbedaan keterangan antara Dinas Pendidikan Kota Palangka Raya dan Badan Gizi Nasional (BGN) terkait insiden 27 siswa SD yang jatuh sakit usai menyantap Makan Bergizi Gratis (MBG) pada 4 September 2025.

Pihak Disdik menyebut peristiwa itu sebagai keracunan, sementara BGN menolaknya dengan alasan kondisi imunitas siswa.

Dinas Pendidikan Kota Palangka Raya menjelaskan kronologi peristiwa dugaan keracunan yang dialami oleh 27 orang siswa sekolah dasar (SD) usa... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,15 Dapur SPPG di Palangka Raya Belum Kantongi Sertifikat Higiene,Tirto.id,"Thu, 02 Oct 2025 07:00:00 GMT",https://tirto.id/15-dapur-sppg-di-palangka-raya-belum-kantongi-sertifikat-higiene-hiSK,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://tirto.id/15-dapur-sppg-di-palangka-raya-belum-kantongi-sertifikat-higiene-hiSK]
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,"Fakta Baru Keracunan MBG di Palangka Raya, Dapur SPPG Ternyata Belum Punya SLHS dan Staf Tak Terlatih",Kompas.com,"Tue, 30 Sep 2025 07:00:00 GMT",https://regional.kompas.com/read/2025/09/30/155013178/fakta-baru-keracunan-mbg-di-palangka-raya-dapur-sppg-ternyata-belum-punya,"PALANGKA RAYA, KOMPAS.com - Satuan Pelayanan Pemenuhan Gizi (SPPG) Bukit Tunggal yang memproduksi menu makan bergizi gratis (MBG) untuk siswa SDN 3 Bukit Tunggal, Kota Palangka Raya, Kalimantan Tengah, yang berujung keracunan pada 4 September lalu, ternyata belum memiliki sertifikat laik higiene dan sanitasi (SLHS).

Tak hanya belum memiliki SLHS, pramusaji yang bekerja di SPPG saat kejadian itu belum menerima pelatihan untuk menyajikan makanan dengan baik (pelatihan penjamah makanan).

Hal itu ... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,"Baru 16 Sekolah Terlayani, Program Makan Bergizi di Palangka Raya Butuh 20 Titik SPPG",Kompas.com,"Fri, 24 Jan 2025 08:00:00 GMT",https://regional.kompas.com/read/2025/01/24/103855378/baru-16-sekolah-terlayani-program-makan-bergizi-di-palangka-raya-butuh-20?page=all,"PALANGKA RAYA, KOMPAS.com - Program makan bergizi gratis (MBG) di Kota Palangka Raya, Provinsi Kalimantan Tengah, masih belum dapat menyentuh seluruh sekolah di kota setempat.

Hal ini disebabkan karena masih terbatasnya jumlah dapur umum atau Satuan Pelayanan Pemenuhan Gizi (SPPG).

Hingga kini, program MBG di Palangka Raya masih terbatas dilakukan di 16 sekolah yang menjadi cakupan satu SPPG.

SPPG untuk MBG di 16 sekolah itu terletak di Jalan Bukit Kenanga, Kelurahan Palangka, Kecamatan Jekan... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 4,"Program Makan Bergizi Gratis di Palangka Raya Dimulai, Sasar 16 Sekolah",Kompas.com,"Mon, 13 Jan 2025 08:00:00 GMT",https://regional.kompas.com/read/2025/01/13/120506578/program-makan-bergizi-gratis-di-palangka-raya-dimulai-sasar-16-sekolah,"PALANGKA RAYA, KOMPAS.com - Program Makan Bergizi Gratis (MBG) resmi diluncurkan di Kota Palangka Raya, Provinsi Kalimantan Tengah (Kalteng), pada hari ini, Senin (13/1/2025).

Program ini akan berlangsung di 16 sekolah dengan dukungan dari tiga titik Satuan Pelayanan Pemenuhan Gizi (SPPG).

Koordinator SPPG Tingkat Provinsi Kalteng, Elisa Agustino, menyatakan bahwa program makan bergizi gratis ini akan terus berlanjut.

Penambahan jumlah sekolah yang akan menerima program ini akan dilakukan sec... [Selengkapnya di file TXT]"
